States,HOS_DOM,HOS_NL,EMP_EPR,TRS_GAS,TRS_ADD,ENT_ATT,Abbr,us-abbr,Robustness
Alabama,0.968,0.738,0.790,0.537,0.096,0.959,AL,us-al,0.681
Alaska,0.044,0.481,0.812,0.985,1.000,0.976,AK,us-ak,0.716
Arizona,0.479,0.596,0.741,0.927,0.732,0.987,AZ,us-az,0.744
Arkansas,0.953,0.222,0.701,0.818,0.445,0.962,AR,us-ar,0.683
California,0.896,0.545,1.000,0.959,0.383,0.992,CA,us-ca,0.796
Colorado,0.441,0.658,0.974,0.906,0.266,0.967,CO,us-co,0.702
Connecticut,0.677,0.718,1.000,0.911,0.225,0.940,CT,us-ct,0.745
Delaware,0.237,0.749,0.928,0.838,0.374,0.978,DE,us-de,0.684
Florida,0.808,0.651,0.814,0.946,0.090,0.998,FL,us-fl,0.718
Georgia,0.263,0.559,0.976,0.982,0.523,0.977,GA,us-ga,0.713
Hawaii,0.865,0.568,0.328,0.706,0.388,0.000,HI,us-hi,0.476
Idaho,0.648,0.813,0.716,0.463,0.245,0.946,ID,us-id,0.638
Illinois,0.230,0.580,0.874,0.978,0.313,0.987,IL,us-il,0.660
Indiana,0.264,0.000,0.889,0.848,0.746,0.972,IN,us-in,0.620
Iowa,0.243,0.425,0.940,0.903,0.429,0.856,IA,us-ia,0.633
Kansas,0.757,0.739,0.666,0.437,0.369,0.987,KS,us-ks,0.659
Kentucky,0.634,0.734,0.804,0.913,0.141,0.990,KY,us-ky,0.703
Louisiana,0.413,0.782,0.985,0.345,0.221,0.989,LA,us-la,0.623
Maine,0.460,0.916,0.959,0.977,0.672,0.933,ME,us-me,0.820
Maryland,0.823,0.635,0.972,0.899,0.148,0.986,MD,us-md,0.744
Massachusetts,0.548,0.908,0.733,0.696,0.268,0.993,MA,us-ma,0.691
Michigan,0.565,0.631,0.682,0.753,0.429,0.975,MI,us-mi,0.673
Minnesota,0.430,0.637,0.720,0.875,0.569,0.958,MN,us-mn,0.698
Missouri,0.348,0.828,0.895,0.848,0.721,0.911,MO,us-mo,0.759
Nebraska,0.669,1.000,0.527,0.909,0.697,1.000,NE,us-ne,0.800
Nevada,0.896,0.453,0.000,0.961,0.704,0.936,NV,us-nv,0.658
New Hampshire,0.707,0.888,0.924,0.980,0.236,0.996,NH,us-nh,0.789
New Jersey,0.813,0.674,0.967,0.991,0.839,0.920,NJ,us-nj,0.868
New Mexico,0.731,0.520,0.967,0.819,0.241,0.953,NM,us-nm,0.705
New York,0.731,0.772,0.897,0.794,0.000,0.963,NY,us-ny,0.693
North Carolina,0.804,0.792,0.775,0.567,0.322,0.992,NC,us-nc,0.709
Ohio,1.000,0.827,0.852,0.980,0.460,0.955,OH,us-oh,0.846
Oklahoma,0.000,0.808,0.715,0.000,0.454,0.942,OK,us-ok,0.487
Oregon,0.307,0.831,0.831,0.667,0.246,0.978,OR,us-or,0.643
Pennsylvania,0.487,0.804,0.985,0.882,0.609,0.981,PA,us-pa,0.791
Rhode Island,0.683,0.770,0.674,0.878,0.586,0.988,RI,us-ri,0.763
South Carolina,0.841,0.549,0.567,1.000,0.161,0.984,SC,us-sc,0.684
Tennessee,0.875,0.473,0.913,0.873,0.131,0.976,TN,us-tn,0.707
Texas,0.781,0.667,0.998,0.997,0.734,0.998,TX,us-tx,0.862
Utah,0.051,0.211,0.605,0.868,0.681,0.987,UT,us-ut,0.567
Vermont,0.642,0.371,0.906,0.954,0.787,0.955,VT,us-vt,0.769
Virginia,0.536,0.610,0.815,0.456,0.201,0.992,VA,us-va,0.602
Washington,0.120,0.709,0.937,0.947,0.235,0.991,WA,us-wa,0.656
Wisconsin,0.895,0.654,0.848,0.983,0.327,0.986,WI,us-wi,0.782
